baseline_random_FN,baseline_random_FP,baseline_random_f1,baseline_random_precision,baseline_random_recall,baseline_unsupervised_FN,baseline_unsupervised_FP,baseline_unsupervised_f1,baseline_unsupervised_precision,baseline_unsupervised_recall,label,oracle_FN,oracle_FP,oracle_average precision,oracle_f1,oracle_precision,oracle_recall,oracle_roc auc,oracle_train time (s),prevalence
7186.5,7214.0,0.7431036267183062,0.7435983359709005,0.7440613981979415,19212,9728,0.3799545785662253,0.47684861521914496,0.3157875992734784,smurf.,0,0,1.0,1.0,1.0,1.0,1.0,0.6743888854980469,0.7426980631765492
5104.5,5080.5,0.5251500059867368,0.5265555932140984,0.5238339552238807,5485,5534,0.4872260226162223,0.48611755966199277,0.488339552238806,neptune.,1,0,0.999999991298985,0.999953356033397,1.0,0.9999067164179104,0.999999995205408,0.6130602359771729,0.5242659689576545
215.5,226.0,0.02022675736961451,0.02000786936848318,0.020454545454545454,202,180,0.0861244019138756,0.09090909090909091,0.08181818181818182,back.,0,0,1.0,1.0,1.0,1.0,1.0,0.15926194190979004,0.022152694008846
155.0,155.5,0.026016328947925042,0.026936332305459824,0.025157232704402517,13,16,0.9096573208722741,0.9012345679012346,0.9182389937106918,satan.,0,0,1.0,1.0,1.0,1.0,1.0,0.2581019401550293,0.016069690111640725
123.5,122.5,0.011177107411417034,0.010597145036504304,0.012,116,130,0.06818181818181818,0.06474820143884892,0.072,ipsweep.,0,0,1.0,1.0,1.0,1.0,1.0,0.13971304893493652,0.012649234321673707
103.0,97.5,0.009501241254795758,0.009389878328337153,0.009615384615384616,50,44,0.5346534653465348,0.5510204081632653,0.5192307692307693,portsweep.,1,0,0.9904863240908807,0.9951690821256038,1.0,0.9903846153846154,0.9951883539979758,0.1606600284576416,0.010577974419609937
101.0,103.0,0.0091791406134866,0.008636735909463181,0.00980392156862745,101,84,0.0106951871657754,0.011764705882352941,0.00980392156862745,warezclient.,2,0,0.9995339238173997,0.99009900990099,1.0,0.9803921568627451,0.9999969765866873,0.2496349811553955,0.01037666268216384
97.0,97.0,0.009975124378109452,0.00975632971635256,0.01020408163265306,68,73,0.29850746268656714,0.2912621359223301,0.30612244897959184,teardrop.,0,0,1.0,1.0,1.0,1.0,1.0,0.1447010040283203,0.009961198397048534
26.0,26.0,0.0,0.0,0.0,26,39,0.0,0.0,0.0,pod.,1,0,1.0,0.9803921568627451,1.0,0.9615384615384616,1.0,0.139021635055542,0.0027168341193356572
23.0,23.0,0.0,0.0,0.0,11,12,0.5106382978723404,0.5,0.5217391304347826,nmap.,0,0,1.0,1.0,1.0,1.0,1.0,0.16612696647644043,0.0023715820375094544
