initial_FN,initial_FP,initial_f1,initial_precision,initial_recall,label,learner,sample_100_FN,sample_100_FP,sample_100_f1,sample_100_precision,sample_100_recall,sample_10_FN,sample_10_FP,sample_10_f1,sample_10_precision,sample_10_recall,sample_1_FN,sample_1_FP,sample_1_f1,sample_1_precision,sample_1_recall,sample_25_FN,sample_25_FP,sample_25_f1,sample_25_precision,sample_25_recall,sample_50_FN,sample_50_FP,sample_50_f1,sample_50_precision,sample_50_recall,sampling strategy
8866,0,0.8125264315317601,1.0,0.684248014530432,smurf.,VotingClassifier,8866,0,0.8125264315317601,1.0,0.684248014530432,8866,0,0.8125264315317601,1.0,0.684248014530432,8866,0,0.8125264315317601,1.0,0.684248014530432,8866,0,0.8125264315317601,1.0,0.684248014530432,8866,0,0.8125264315317601,1.0,0.684248014530432,entropy_sampling
5581,0,0.6480862601677281,1.0,0.47938432835820893,neptune.,VotingClassifier,5581,0,0.6480862601677281,1.0,0.47938432835820893,5581,0,0.6480862601677281,1.0,0.47938432835820893,5581,0,0.6480862601677281,1.0,0.47938432835820893,5581,0,0.6480862601677281,1.0,0.47938432835820893,5581,0,0.6480862601677281,1.0,0.47938432835820893,entropy_sampling
23,0,0.9448441247002398,1.0,0.8954545454545455,back.,VotingClassifier,21,0,0.9498806682577565,1.0,0.9045454545454545,21,0,0.9498806682577565,1.0,0.9045454545454545,25,0,0.9397590361445783,1.0,0.8863636363636364,21,0,0.9498806682577565,1.0,0.9045454545454545,22,0,0.9473684210526316,1.0,0.9,entropy_sampling
150,0,0.10714285714285715,1.0,0.05660377358490566,satan.,VotingClassifier,134,0,0.2717391304347826,1.0,0.15723270440251572,139,0,0.223463687150838,1.0,0.12578616352201258,150,0,0.10714285714285715,1.0,0.05660377358490566,134,0,0.2717391304347826,1.0,0.15723270440251572,134,0,0.2717391304347826,1.0,0.15723270440251572,entropy_sampling
9,0,0.9626556016597512,1.0,0.928,ipsweep.,VotingClassifier,8,0,0.9669421487603307,1.0,0.936,8,0,0.9669421487603307,1.0,0.936,9,0,0.9626556016597512,1.0,0.928,8,0,0.9669421487603307,1.0,0.936,9,0,0.9626556016597512,1.0,0.928,entropy_sampling
55,0,0.6405228758169934,1.0,0.47115384615384615,portsweep.,VotingClassifier,55,0,0.6405228758169934,1.0,0.47115384615384615,56,0,0.631578947368421,1.0,0.46153846153846156,56,0,0.631578947368421,1.0,0.46153846153846156,55,0,0.6405228758169934,1.0,0.47115384615384615,55,0,0.6405228758169934,1.0,0.47115384615384615,entropy_sampling
22,2,0.8695652173913043,0.975609756097561,0.7843137254901961,warezclient.,VotingClassifier,6,0,0.9696969696969697,1.0,0.9411764705882353,8,1,0.9543147208121827,0.9894736842105263,0.9215686274509803,18,2,0.8936170212765957,0.9767441860465116,0.8235294117647058,8,2,0.9494949494949494,0.9791666666666666,0.9215686274509803,6,1,0.964824120603015,0.9896907216494846,0.9411764705882353,entropy_sampling
25,0,0.8538011695906433,1.0,0.7448979591836735,teardrop.,VotingClassifier,18,0,0.898876404494382,1.0,0.8163265306122449,18,0,0.898876404494382,1.0,0.8163265306122449,22,0,0.8735632183908045,1.0,0.7755102040816326,21,0,0.88,1.0,0.7857142857142857,18,0,0.898876404494382,1.0,0.8163265306122449,entropy_sampling
23,0,0.20689655172413793,1.0,0.11538461538461539,pod.,VotingClassifier,20,0,0.375,1.0,0.23076923076923078,20,0,0.375,1.0,0.23076923076923078,22,0,0.2666666666666667,1.0,0.15384615384615385,20,0,0.375,1.0,0.23076923076923078,20,0,0.375,1.0,0.23076923076923078,entropy_sampling
13,0,0.6060606060606061,1.0,0.43478260869565216,nmap.,VotingClassifier,11,0,0.6857142857142856,1.0,0.5217391304347826,11,0,0.6857142857142856,1.0,0.5217391304347826,13,0,0.6060606060606061,1.0,0.43478260869565216,11,1,0.6666666666666667,0.9230769230769231,0.5217391304347826,11,0,0.6857142857142856,1.0,0.5217391304347826,entropy_sampling
